game_cat,kalshi_event_ticker,team1,team2,home_ticker,nba_game_id,date
Regular,KXNBAGAME-26JAN24MIAUTA,MIA,UTA,KXNBAGAME-26JAN24MIAUTA-UTA,0022500649,2026-01-24
Regular,KXNBAGAME-25NOV03UTABOS,UTA,BOS,KXNBAGAME-25NOV03UTABOS-BOS,0022500158,2025-11-03
Regular,KXNBAGAME-25NOV07DETBKN,DET,BKN,KXNBAGAME-25NOV07DETBKN-BKN,0022500031,2025-11-07
Regular,KXNBAGAME-26FEB22TORMIL,TOR,MIL,KXNBAGAME-26FEB22TORMIL-MIL,0022500819,2026-02-22
Regular,KXNBAGAME-26JAN13MINMIL,MIN,MIL,KXNBAGAME-26JAN13MINMIL-MIL,0022500566,2026-01-13
Regular,KXNBAGAME-26MAR20ATLHOU,ATL,HOU,KXNBAGAME-26MAR20ATLHOU-HOU,0022501018,2026-03-20
Regular,KXNBAGAME-26APR10DALSAS,DAL,SAS,KXNBAGAME-26APR10DALSAS-SAS,0022501180,2026-04-10
Regular,KXNBAGAME-26APR06PORDEN,POR,DEN,KXNBAGAME-26APR06PORDEN-DEN,0022501147,2026-04-06
Regular,KXNBAGAME-26MAR12CHILAL,CHI,LAL,KXNBAGAME-26MAR12CHILAL-LAL,0022500960,2026-03-12
Regular,KXNBAGAME-25OCT22NOPMEM,NOP,MEM,KXNBAGAME-25OCT22NOPMEM-MEM,0022500085,2025-10-22
Regular,KXNBAGAME-26FEB19DENLAC,DEN,LAC,KXNBAGAME-26FEB19DENLAC-LAC,0022500801,2026-02-19
Regular,KXNBAGAME-26MAR19ORLCHA,ORL,CHA,KXNBAGAME-26MAR19ORLCHA-CHA,0022501008,2026-03-19
Regular,KXNBAGAME-25OCT28PHIWAS,PHI,WAS,KXNBAGAME-25OCT28PHIWAS-WAS,0022500123,2025-10-28
Regular,KXNBAGAME-25DEC26MILMEM,MIL,MEM,KXNBAGAME-25DEC26MILMEM-MEM,0022500428,2025-12-26
Regular,KXNBAGAME-26MAR03PHXSAC,PHX,SAC,KXNBAGAME-26MAR03PHXSAC-SAC,0022500892,2026-03-03
Playoffs,KXNBAGAME-25APR24NYKDET,NYK,DET,KXNBAGAME-25APR24NYKDET-DET,0042400123,2025-04-24
Playoffs,KXNBAGAME-25MAY07NYKBOS,NYK,BOS,KXNBAGAME-25MAY07NYKBOS-BOS,0042400212,2025-05-07
Playoffs,KXNBAGAME-25MAY28MINOKC,MIN,OKC,KXNBAGAME-25MAY28MINOKC-OKC,0042400315,2025-05-28
Playoffs,KXNBAGAME-25MAY13INDCLE,IND,CLE,KXNBAGAME-25MAY13INDCLE-CLE,0042400205,2025-05-13
Playoffs,KXNBAGAME-25MAY14NYKBOS,NYK,BOS,KXNBAGAME-25MAY14NYKBOS-BOS,0042400215,2025-05-14
Playoffs,KXNBAGAME-25APR20ORLBOS,ORL,BOS,KXNBAGAME-25APR20ORLBOS-BOS,0042400111,2025-04-20
Playoffs,KXNBAGAME-25MAY07DENOKC,DEN,OKC,KXNBAGAME-25MAY07DENOKC-OKC,0042400222,2025-05-07
Playoffs,KXNBAGAME-25MAY06INDCLE,IND,CLE,KXNBAGAME-25MAY06INDCLE-CLE,0042400202,2025-05-06
Playoffs,KXNBAGAME-25APR19LACDEN,LAC,DEN,KXNBAGAME-25APR19LACDEN-DEN,0042400171,2025-04-19
Playoffs,KXNBAGAME-25APR22MINLAL,MIN,LAL,KXNBAGAME-25APR22MINLAL-LAL,0042400162,2025-04-22
Finals,KXNBAGAME-25JUN16INDOKC,IND,OKC,KXNBAGAME-25JUN16INDOKC-OKC,0042400405,2025-06-16
Finals,KXNBAGAME-25JUN13OKCIND,OKC,IND,KXNBAGAME-25JUN13OKCIND-IND,0042400404,2025-06-13
Finals,KXNBAGAME-25JUN08INDOKC,IND,OKC,KXNBAGAME-25JUN08INDOKC-OKC,0042400402,2025-06-08
Finals,KXNBAGAME-25JUN19OKCIND,OKC,IND,KXNBAGAME-25JUN19OKCIND-IND,0042400406,2025-06-19
Finals,KXNBAGAME-25JUN05INDOKC,IND,OKC,KXNBAGAME-25JUN05INDOKC-OKC,0042400401,2025-06-05
Finals,KXNBAGAME-25JUN11OKCIND,OKC,IND,KXNBAGAME-25JUN11OKCIND-IND,0042400403,2025-06-11
