game_id,game_cat,n_trades,pregame_prob,mean_abs_spread,p90_abs_spread,n_gap_raw,n_gap_filtered,filter_rate,conv_median_raw,conv_p90_raw,conv_median_filt,conv_p90_filt,opening_mean,closing_mean,opening_n,closing_n
0022500031,Regular,3014,0.18,0.06054879058460749,0.1753049310033144,27,19,0.2962962962962963,20.24663519859314,154.77170734405527,42.996532917022705,187.00336966514584,0.08314868872923512,0.01523633278914774,2011,1003
0022500085,Regular,5367,0.62,0.12241945559536699,0.27113619928599675,134,56,0.582089552238806,6.539324045181274,80.68674137592318,46.3237783908844,161.1088753938675,0.09832970595243844,0.12788839052802087,993,4374
0022500123,Regular,9999,0.36,0.14935059817498528,0.3226681891628663,133,44,0.6691729323308271,3.212522029876709,81.4735405921936,42.6992244720459,302.9515794754029,0.07732520089602124,0.1663794790451942,1912,8087
0022500158,Regular,6687,0.81,0.22630575250931526,0.6005773909998774,78,29,0.6282051282051282,1.7352709770202637,49.76402113437652,32.209808111190796,116.55251507759084,0.029165432525021674,0.2415168049050105,479,6208
0022500428,Regular,2968,0.65,0.056512319794192266,0.10782579355304023,70,39,0.44285714285714284,12.822637438774109,106.99051809310922,39.1483039855957,174.65113143920902,0.07624941730574909,0.04774347793139356,913,2055
0022500566,Regular,3221,0.5,0.05349350153540712,0.14410443762745295,24,12,0.5,9.08011794090271,143.72398712635038,51.83043336868286,292.40171000957497,0.08072705363366624,0.012142791469090307,1942,1279
0022500649,Regular,8692,0.31,0.03419219347191294,0.06477241457986294,117,24,0.7948717948717949,2.6459970474243164,22.808437395095833,22.945595502853394,71.42765839099883,0.04876444166835296,0.02012732176705143,4269,4423
0022500801,Regular,27878,0.37,0.15539131510974902,0.4623376453884785,419,51,0.8782816229116945,0.7709300518035889,13.936933660507199,26.54175114631653,69.81179904937744,0.04974005905303429,0.17498864369111447,4362,23516
0022500819,Regular,6180,0.37,0.05073447864604858,0.1039529538278881,200,61,0.6950000000000001,3.366669535636902,35.181885790824886,22.847460985183716,90.5242190361023,0.05196955729224403,0.04896570603939559,3639,2541
0022500892,Regular,7546,0.22,0.048067174945169426,0.13929854870398994,99,20,0.797979797979798,1.5278050899505615,37.17515387535095,37.236623883247375,145.9831075906754,0.06436614485057912,0.029494574987743393,4019,3527
0022500960,Regular,3848,0.84,0.03972497170724761,0.08042899207774834,58,31,0.4655172413793104,10.89343798160553,73.09228532314306,40.082738161087036,167.02077412605286,0.06504051934875617,0.023902754431304764,1480,2368
0022501008,Regular,3633,0.68,0.050757371964379766,0.13015798884355628,48,13,0.7291666666666667,2.667380452156067,71.93960819244386,52.12920594215393,373.7387215614319,0.06502139378497977,0.009058984201567397,2707,926
0022501018,Regular,4248,0.6,0.04130008281025592,0.08993181334461375,74,25,0.6621621621621622,2.6283804178237915,104.03979701995861,56.12883687019348,151.4258229732514,0.05831687041077807,0.02341232491245934,2177,2071
0022501147,Regular,41289,0.72,0.10546461121932617,0.2021855354789342,604,37,0.9387417218543046,0.08180856704711914,1.7871810674667359,37.68750715255737,467.03682727813714,0.141805251948647,0.09882173197978808,6381,34908
0022501180,Regular,1747,0.94,0.05249886361557677,0.10515418631890394,42,29,0.30952380952380953,20.889509916305542,197.17854323387144,45.65298795700073,221.87182936668395,0.06684130532259532,0.046303399042135165,527,1220
0042400111,Playoffs,506,0.88,0.1807843748474259,0.2680501447741138,0,0,,,,,,0.18960485379019748,0.1663592165764349,314,192
0042400123,Playoffs,1704,0.48,0.09005488497205058,0.2232771742996142,86,47,0.4534883720930233,13.415342450141907,137.24922561645508,36.01595616340637,258.0033187866211,0.06900889527746328,0.10243141758834563,631,1073
0042400162,Playoffs,656,0.7,0.07796024734017162,0.17723287261847864,17,14,0.17647058823529416,53.902528047561646,497.6573876857759,61.30855989456177,603.357698297501,0.06688619468890512,0.09399283102931862,388,268
0042400171,Playoffs,1459,0.58,0.13333204552237563,0.3261066959236472,53,39,0.26415094339622647,44.867902994155884,245.30753455162056,75.0020341873169,340.3610766887674,0.11064192026393266,0.14268925109846153,426,1033
0042400202,Playoffs,1064,0.42,0.18683931589093972,0.37816984078027527,16,14,0.125,82.23826897144318,1718.0779830217361,113.4688835144043,1808.76567542553,0.1312352591729975,0.2211482019509466,406,658
0042400205,Playoffs,2140,0.73,0.1314746357044322,0.3047070615114058,80,42,0.475,12.559914588928223,126.22623603343963,41.850194454193115,255.8789873838424,0.08517721819026022,0.13994586024682631,331,1809
0042400212,Playoffs,1084,0.8,0.11352658505841497,0.25453753582000155,47,24,0.4893617021276596,11.191287994384766,310.20959529876706,100.19559407234192,829.4067402601241,0.09788710401661714,0.11799765852350783,241,843
0042400215,Playoffs,1018,0.63,0.06827745416209845,0.13663234232080843,44,33,0.25,41.61914837360382,174.68926370143913,61.746607065200806,406.1740010738375,0.09178790840677431,0.051153540968607886,429,589
0042400222,Playoffs,335,0.79,0.04693104903732656,0.20887306720830687,2,2,0.0,404.1849490404129,701.7452154397964,404.1849490404129,701.7452154397964,0.05491420451471053,0.004454636874642112,282,53
0042400315,Playoffs,1609,0.75,0.07313172902985945,0.22133739083906634,2,1,0.5,583.626596570015,1042.7654201745986,1157.5501260757446,1157.5501260757446,0.0826491189354115,0.00867095295457455,1402,207
0042400401,Finals,5963,0.82,0.16947095535016507,0.5185496412377613,58,28,0.5172413793103448,8.572269558906555,407.94937486648564,97.87099850177765,661.2806818246843,0.11102539655484983,0.1972691152127229,1922,4041
0042400402,Finals,2692,0.83,0.0636546599804727,0.1895023681525363,5,3,0.4,14.16598892211914,1373.2271064758302,353.81918001174927,1713.0297486305237,0.09579794105187282,0.019358265571122735,1560,1132
0042400403,Finals,16848,0.36,0.11318391827291885,0.33210951464217087,182,42,0.7692307692307692,1.760071039199829,50.28166310787201,47.085299134254456,160.8114282608032,0.047165066720504925,0.1507587717549717,6111,10737
0042400404,Finals,20405,0.34,0.10463897203675371,0.2741857233988963,268,55,0.7947761194029851,1.2280045747756958,37.38431599140169,36.8299880027771,146.43740220069884,0.056251355812176454,0.13128930299734892,7247,13158
0042400405,Finals,5378,0.76,0.06155093138634289,0.13800071868251507,55,32,0.4181818181818182,13.45620584487915,116.92351117134096,32.924059987068176,251.23991050720227,0.05805775699836273,0.06403494180859412,2235,3143
0042400406,Finals,10699,0.34,0.05535591077795748,0.1201025337515873,160,20,0.875,0.8353290557861328,18.611458539962744,47.1975519657135,280.98662090301514,0.07041901966165078,0.03109246965027088,6601,4098
